timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
362414275,-0.0314995,-0.148117,-0.0725665,4012,0,-0.279882,-3.77676,-8.67708,4012
362418281,-0.14142,0.129359,-0.0359171,4006,0,-5.18596,5.46633,-12.6197,4006
362422276,0.153067,0.105188,0.0353704,3995,0,3.44399,-4.67678,-8.21012,3995
362426281,0.0518999,-0.128397,-0.0327381,4005,0,1.3391,3.56994,-9.60206,4005
362430278,-0.00871551,-0.162872,0.112801,3997,0,0.408834,-3.74563,-9.74881,3997
362434276,-0.110435,-0.0207445,-0.124712,3998,0,-2.79914,3.15139,-9.67314,3998
362438276,-0.00635569,0.211912,-0.0338632,4000,0,-4.38944,-0.558439,-9.88826,4000
362442281,0.0544519,0.0593021,0.0611022,4005,0,7.30351,-1.30583,-8.58494,4005
362446283,0.0920915,-0.0636397,-0.0412383,4002,0,-2.12156,1.36905,-10.632,4002
362451061,-0.0401897,-0.0972973,0.0205717,4778,0,-0.0399886,-0.656095,-9.62897,4778
362455060,-0.0944529,0.131718,-0.0853152,3999,0,-5.61334,0.22386,-11.4574,3999
362459062,0.036633,0.170279,0.0264574,4002,0,3.51397,-1.11545,-8.50292,4002
362463060,0.00392094,-0.0107368,0.0175991,3998,0,2.37034,1.37771,-8.10405,3998
362467071,0.00700708,-0.186819,0.0303776,4011,0,0.232004,-2.23789,-12.0741,4011
362471063,-0.0620716,0.129253,-0.0271089,3992,0,-4.18279,0.761959,-9.36993,3992
362475062,-0.0361709,0.224691,-0.0548153,3999,0,-1.24013,1.36996,-10.7887,3999
362479061,-3.74838e-05,0.0639513,0.0506495,3999,0,3.16803,-2.10716,-8.06775,3999
362483063,0.0594663,-0.0240299,0.0481759,4002,0,2.71658,2.79694,-9.44511,4002
362487064,0.00494686,-0.163157,-0.0219956,4001,0,-2.51283,-2.01991,-10.0168,4001
362491063,-0.149493,0.178541,-0.0198195,3999,0,-4.32706,1.02394,-10.6667,3999
362495835,0.105336,0.205407,0.0200326,4772,0,2.19906,-0.526657,-9.0849,4772
362499882,0.0401399,-0.0257443,0.0189751,4047,0,3.597,1.70542,-8.74804,4047
362503834,0.012556,-0.234726,0.0464769,3952,0,-0.740892,-0.757726,-12.0381,3952
362507883,-0.068251,0.0877197,-0.0258982,4049,0,-3.50004,-0.0449899,-8.61542,4049
362511839,0.0232421,0.202889,-0.0351725,3956,0,-0.737618,1.61671,-10.4247,3956
362515840,0.0721323,0.00862734,0.0386851,4001,0,4.2888,-2.44563,-7.72928,4001
362519836,0.0425555,-0.14359,0.058406,3996,0,2.84543,1.78838,-11.4174,3996
362523885,0.0370664,-0.141117,-0.0213215,4049,0,-3.46882,-1.29629,-10.3724,4049
362527884,-0.114527,0.0751291,-0.0463415,3999,0,-2.87551,0.698167,-10.1214,3999
362531835,0.0901917,0.155226,0.0549379,3951,0,2.02079,0.137648,-8.52138,3951
362535837,0.100803,-0.104961,-0.0244057,4002,0,3.5213,-1.97987,-8.36302,4002
362540646,-0.0308035,-0.219432,0.0288224,4809,0,-0.548169,2.55358,-11.3162,4809
362544677,-0.0323342,0.00691821,-0.0317717,4031,0,-3.84699,-4.83151,-9.06939,4031
362548678,-0.0227135,0.22076,-0.0346522,4001,0,-1.05765,5.68088,-10.9138,4001
362552677,0.11816,-0.118999,0.0282465,3999,0,5.36768,-6.05444,-6.69649,3999
362556677,-0.129179,-0.228242,0.0363099,4000,0,1.07926,4.2957,-11.7935,4000
363961477,0.419468,0.216491,0.516904,4800,0,12.286,-18.074,-10.1984,4800
363965483,-0.687651,-0.632265,-0.258519,4006,0,9.362,5.65944,-10.7195,4006
363969477,-0.133701,-0.319774,-0.229941,3994,0,-23.4835,8.06201,-7.62058,3994
363973478,0.0715739,0.0819318,0.296942,4001,0,5.35004,-8.59409,-13.4753,4001
363977481,-0.539968,-0.235319,0.0845786,4003,0,16.4518,7.60474,-6.66979,4003
363981477,0.472318,-0.360858,-0.245251,3996,0,-17.46,-4.11444,-12.1256,3996
363985477,-0.834388,-0.0904371,-0.0230919,4000,0,-2.14278,-8.27254,-10.3438,4000
363989478,-0.157826,-0.0759186,0.0446242,4001,0,13.8927,18.4685,-8.34162,4001
363993478,0.598622,-0.151667,-0.14502,4000,0,-8.96284,-12.2341,-9.84259,4000
363997479,-0.99786,-0.17323,0.103912,4001,0,-2.56329,-10.7972,-10.0474,4001
364001479,-0.00293218,-0.152069,0.0423679,4000,0,5.04779,25.8601,-11.2756,4000
364005479,0.386953,0.0990203,-0.171046,4000,0,-1.76409,-13.3455,-6.01044,4000
364009477,-0.454905,-0.188535,0.118513,3998,0,0.187136,-15.3378,-12.704,3998
364013477,-0.500758,-0.243889,0.148042,4000,0,-2.00713,26.8272,-12.0315,4000
364018280,0.504948,0.18225,-0.0956942,4803,0,0.817934,-12.8726,-5.19899,4803
364022277,-0.389459,-0.262569,0.0889959,3997,0,5.88038,-8.29441,-14.6141,3997
364026281,-0.525448,-0.260851,0.10557,4004,0,-11.6528,22.1012,-10.2676,4004
364030279,0.542668,0.452448,0.127359,3998,0,1.03398,-11.516,-4.7578,3998
364034241,-0.300887,-0.149046,-0.0791709,3962,0,14.2546,-12.5429,-12.5964,3962
364038279,-0.670751,-0.469162,-0.136131,4038,0,-13.0419,20.0816,-10.5871,4038
364042277,0.641496,0.411166,0.223244,3998,0,-7.68609,-5.33667,-7.57414,3998
364046280,-0.386203,0.176935,0.0800879,4003,0,19.275,-14.8466,-10.5102,4003
364050280,-0.470894,-0.472832,-0.271603,4000,0,-5.3145,16.429,-12.2387,4000
364054276,0.204715,0.21161,0.0844852,3996,0,-16.5421,-2.82604,-7.28427,3996
364058248,-0.169891,0.397115,0.254623,3972,0,17.2437,-10.6502,-8.60606,3972
364063069,-0.17646,-0.320376,-0.240127,4821,0,-1.43589,10.7945,-12.2464,4821
364067064,-0.0112777,0.0628494,-0.0473766,3995,0,-12.8841,-12.8775,-6.45138,3995
364071062,-0.40256,0.2806,0.192516,3998,0,15.2176,3.98155,-11.2494,3998
364075062,0.0864464,-0.276972,-0.0969315,4000,0,-1.3525,8.76211,-8.77211,4000
364079061,0.0464585,0.0363725,-0.222236,3999,0,-9.70654,-17.9772,-8.18081,3999
364083081,-0.535972,0.0829264,0.214318,4020,0,8.26113,9.90821,-13.1583,4020
364087075,0.132611,-0.219706,-0.0521412,3994,0,1.31313,10.1043,-6.62384,3994
364091036,0.176997,0.0968797,-0.188528,3961,0,-7.54349,-24.8451,-10.1769,3961
364095083,-0.84748,-0.0202511,0.331091,4047,0,5.62767,9.02855,-10.6816,4047
364099081,-0.05061,-0.121601,-0.125952,3998,0,0.406866,18.0787,-7.01577,3998
364103083,0.778649,-0.00855066,-0.153077,4002,0,-4.4632,-23.3389,-9.63582,4002
364107076,-0.965368,0.0826739,0.245591,3993,0,3.95545,-3.87652,-10.1963,3993
364111870,-0.12423,-0.0332399,-0.0630525,4794,0,-3.27507,20.163,-7.16552,4794
364115863,0.7047,0.0631513,0.00608679,3993,0,1.872,-21.5131,-9.21845,3993
364119864,-0.777194,-0.0608442,0.172953,4001,0,4.3863,-6.23505,-13.1553,4001
364123862,-0.22993,-0.0268589,-0.0676313,3998,0,-11.0315,24.4632,-8.23496,3998
364127862,0.49488,0.32261,0.0482131,4000,0,4.92017,-9.67032,-6.33525,4000
364131862,-0.20228,-0.0484331,0.129214,4000,0,9.41012,-15.6568,-15.2057,4000
364135861,-0.456552,-0.178892,-0.225694,3999,0,-13.8779,19.3092,-6.20666,3999
364139863,0.343676,0.548904,0.130006,4002,0,-2.41955,0.10975,-6.35914,4002
364143862,0.191296,0.126699,0.224395,3999,0,15.7828,-14.6263,-13.1009,3999
364147868,-0.297355,-0.159633,-0.343725,4006,0,-7.03281,8.57234,-9.15206,4006
364151862,0.186558,0.346579,0.0218244,3994,0,-12.7742,3.92245,-7.79559,3994
364156645,0.190059,0.247497,0.159513,4783,0,14.7494,-5.59484,-11.9951,4783
364160684,0.0113893,-0.132187,-0.258091,4039,0,-5.80979,1.19794,-8.37457,4039
364164652,0.0871314,0.426954,0.140671,3968,0,-12.492,1.60572,-8.92575,3968
364168640,0.152792,0.280624,0.0799131,3988,0,14.1975,3.02326,-7.53385,3988
364172683,0.413554,-0.212426,-0.195837,4043,0,3.42057,-6.69335,-11.7856,4043
364176684,-0.115821,0.293609,0.139192,4001,0,-15.1369,-1.84903,-8.07865,4001
364180682,0.00488726,0.438899,-0.0250408,3998,0,4.17284,8.67798,-9.40022,3998
364184635,0.659253,-0.212978,-0.150679,3953,0,13.3363,-0.0213576,-10.5745,3953
364188682,-0.0141075,0.121228,0.132496,4047,0,-11.8458,-15.1698,-8.82449,4047
364192650,-0.346839,0.238945,0.0241165,3968,0,-4.74702,6.66887,-10.2521,3968
364196635,0.318725,0.0910211,-0.220631,3985,0,14.3363,16.9717,-7.50266,3985
364201476,0.551371,-0.111467,0.161357,4841,0,-4.73959,-23.5855,-10.2809,4841
364205480,-0.892806,0.0919786,-0.0734279,4004,0,-6.10104,4.01731,-9.00525,4004
364209478,0.313075,-0.0175846,-0.236829,3998,0,7.67604,31.6596,-7.99495,3998
364213478,1.25862,-0.0104949,0.233613,4000,0,1.87057,-24.3805,-9.05829,4000
364217481,-0.871647,-0.118281,0.0205718,4003,0,-1.37386,-25.8024,-11.4849,4003
364221480,-0.36998,-0.292784,-0.273478,3999,0,-6.13429,47.4163,-8.87248,3999
364225477,1.11042,0.244435,0.118272,3997,0,2.91212,-2.62146,-6.64411,3997
364229476,0.239179,-0.324575,0.316638,3999,0,12.5845,-49.8062,-14.3777,3999
364233483,-1.22178,-0.57318,-0.375993,4007,0,-12.9878,35.7376,-4.40474,4007
364237484,0.777843,0.284193,0.0273852,4001,0,-9.52123,25.1137,-8.50213,4001
364241483,0.962794,-0.13107,0.678288,3999,0,23.2631,-48.7705,-13.9249,3999
364245435,-1.04329,-0.718427,-0.505118,3952,0,-4.36879,4.99878,-8.46948,3952
364250279,0.207319,-0.0845198,0.184262,4844,0,-15.3244,26.044,-7.17743,4844
364254279,0.60936,-0.0104382,0.660178,4000,0,23.1176,-33.3833,-14.375,4000
364258281,-0.793616,-0.596623,-0.492534,4002,0,-3.80338,0.074513,-6.98649,4002
364262281,-0.195496,-0.307441,0.0470468,4000,0,-15.8658,20.9344,-8.16748,4000
364266280,0.44375,-0.0605973,0.446106,3999,0,12.8011,-9.82862,-12.5363,3999
