timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
362153602,0.000378507,0.000294948,-1.44813e-05,7.96635e-05,-4.46584e-06,-9.34635e-07,0.0
362186438,0.0407106,-0.00730678,-0.0258873,0.000126675,-2.66507e-06,6.67137e-07,0.0
362214392,0.00402087,-0.00272262,0.018834,0.000136964,-9.33118e-07,1.33048e-05,0.0
362247246,0.00905135,0.0105492,0.0134234,0.000136964,-9.33118e-07,1.33048e-05,0.0
362280039,0.0248842,0.0575913,-0.0327803,0.000136964,-9.33118e-07,1.33048e-05,0.0
362312815,-0.0461537,-0.155062,0.0256079,0.000136964,-9.33118e-07,1.33048e-05,0.0
362341635,-0.0987784,0.00217105,-0.00813557,0.000136964,-9.33118e-07,1.33048e-05,0.0
362373628,0.0486281,-0.167169,0.151987,0.000136964,-9.33118e-07,1.33048e-05,0.0
362406407,0.0660406,-0.0354671,0.00604259,0.000136964,-9.33118e-07,1.33048e-05,0.0
362438428,-0.0720486,0.167441,-0.0814458,0.000136964,-9.33118e-07,1.33048e-05,0.0
362467215,0.0453442,-0.134457,0.0388023,0.000136964,-9.33118e-07,1.33048e-05,0.0
362500032,0.0687583,0.0171028,0.0255287,0.000136964,-9.33118e-07,1.33048e-05,0.0
362531992,0.0324354,0.2105,-0.0168781,0.000136964,-9.33118e-07,1.33048e-05,0.0
363961635,0.537439,0.187248,0.471059,0.00960544,0.0041826,-0.020529,0.0
363993632,0.181159,-0.0960719,-0.111194,0.00989539,0.00455414,-0.0208759,0.0
364026442,-0.771739,-0.355312,0.120346,0.0102768,0.00473194,-0.0213937,0.0
364058414,0.20263,0.407403,0.267316,0.0103621,0.00451315,-0.0219191,0.0
364091191,0.450958,-0.0121498,-0.212039,0.010644,0.00469267,-0.0221707,0.0
364120010,-0.171921,0.0499901,0.156007,0.0112007,0.00475452,-0.0226526,0.0
364152012,-0.0262476,0.100735,-0.20359,0.0115804,0.00468475,-0.0230454,0.0
364184793,0.402948,0.0678719,-0.171176,0.0114404,0.00422609,-0.0234947,0.0
364213643,0.986465,-0.0625421,0.00925612,0.0112163,0.00414453,-0.0238509,0.0
364245590,-0.369197,-0.539369,-0.145268,0.0116897,0.00408128,-0.0241106,0.0
364278418,-0.114892,-0.263406,0.00361912,0.0120891,0.00450156,-0.024842,0.0
364311235,0.399066,0.0739016,0.170607,0.0123759,0.00494468,-0.0253215,0.0
364340037,-0.434388,-0.0282082,-0.108974,0.0125249,0.00486459,-0.0255395,0.0
364372045,0.485712,-0.0372013,-0.104741,0.0132008,0.00453667,-0.0251776,0.0
364404833,0.038579,-0.206158,-0.0211144,0.0131623,0.00497232,-0.0257059,0.0
364437602,-0.723815,-0.337438,-0.251333,0.0136933,0.00559068,-0.0259506,0.0
364465619,0.102589,-0.116547,-0.0818879,0.0137879,0.00567731,-0.0262142,0.0
364498442,-0.245401,0.123974,0.00468859,0.0143284,0.00546265,-0.0265766,0.0
364531247,-0.23386,0.16889,0.130984,0.014592,0.00528936,-0.0269276,0.0
364563255,0.0579554,0.168011,-0.0921751,0.0149876,0.00517152,-0.0274468,0.0
364592012,0.0374821,0.350026,0.237181,0.0150521,0.00481611,-0.0277964,0.0
364624839,0.56848,0.0876109,-0.118653,0.0148356,0.00467788,-0.0280541,0.0
364656839,-1.12784,-0.328381,-0.136312,0.0147767,0.00474083,-0.0282149,0.0
364689623,0.899401,0.305747,0.691644,0.0142314,0.00452837,-0.0290085,0.0
364718436,0.211051,-0.32493,-0.0626987,0.0142839,0.00502135,-0.0291814,0.0
364750444,-0.692592,-0.403188,-0.197677,0.0146442,0.0057344,-0.0294832,0.0
364783234,0.164399,0.339733,0.178402,0.0146724,0.00594302,-0.0298382,0.0
364811997,-0.159812,0.102448,-0.0532248,0.0149594,0.00606287,-0.0300011,0.0
364844011,0.408336,0.182546,-0.00115453,0.014954,0.00608404,-0.0302496,0.0
364876836,-0.216756,0.0878385,0.0353719,0.0153433,0.00606588,-0.0306943,0.0
364909626,0.274281,0.375769,0.17187,0.0153527,0.00582386,-0.0311335,0.0
364938433,0.678614,0.0820415,-0.215512,0.0151859,0.00568105,-0.0312471,0.0
364970438,-1.14976,-0.225576,0.046128,0.0157452,0.00558007,-0.0314596,0.0
365003225,0.947235,0.3938,0.779981,0.0156366,0.00502904,-0.0317781,0.0
365036044,-0.189434,0.0344123,-0.131731,0.0157793,0.00534505,-0.0320362,0.0
365064042,-0.512957,0.0564964,0.11384,0.015747,0.00539909,-0.0324561,0.0
365096816,0.507674,0.146025,0.143065,0.015634,0.00535624,-0.0328319,0.0
365129589,-0.375644,-0.167853,-0.108999,0.0159305,0.00544952,-0.0331163,0.0
365161623,-0.447617,0.00584074,-0.128731,0.0161193,0.00538047,-0.0334282,0.0
365190391,0.540423,-0.0375515,-0.0673062,0.0160812,0.0054018,-0.0336251,0.0
365223254,-0.750386,-0.441688,-0.11905,0.0161311,0.00551694,-0.0339944,0.0
365256030,0.0988934,-0.402216,0.0823219,0.0157915,0.00553891,-0.0343931,0.0
365288037,-0.393504,0.0956821,0.115717,0.0161185,0.00579701,-0.0345388,0.0
365316822,-1.25108,-0.622053,-0.457862,0.0168972,0.00613166,-0.0347693,0.0
365348834,0.20217,0.011176,0.407293,0.0168175,0.00614716,-0.0352226,0.0
365381629,-0.367472,-0.110925,0.138179,0.0169074,0.0065178,-0.0351753,0.0
365410424,-0.227215,-0.21092,-0.280799,0.0170735,0.00680555,-0.0352916,0.0
365442418,0.192314,-0.0689066,-0.138974,0.0172114,0.00665387,-0.0355978,0.0
365475231,-0.672348,0.265459,0.0519128,0.0175725,0.00661574,-0.0358318,0.0
365508007,0.921135,0.0894345,0.0370596,0.017644,0.00650166,-0.0360785,0.0
365536030,1.20831,0.126512,0.525421,0.0173225,0.00647422,-0.0365579,0.0
365568821,-0.439382,-0.0645494,0.124497,0.0173987,0.00695986,-0.0368854,0.0
365601637,0.607014,-0.0162302,0.219753,0.0173492,0.00765657,-0.0371556,0.0
365634452,0.0470511,0.088405,0.0243464,0.0177079,0.00798203,-0.0374268,0.0
365662442,-0.120782,0.306498,0.145976,0.0177484,0.00778055,-0.0377159,0.0
365695230,0.319737,0.291805,-0.0443129,0.017702,0.00774098,-0.0378525,0.0
365727996,-0.0121491,0.235436,-0.0513307,0.0180559,0.00780109,-0.0382342,0.0
365760030,0.229138,-0.0731925,-0.200902,0.0181448,0.00784799,-0.0385196,0.0
365788836,-0.439273,0.374117,0.084839,0.0184065,0.00773743,-0.0386647,0.0
365821599,0.681913,0.127579,-0.14678,0.0185955,0.00755707,-0.0389389,0.0
365853642,-0.446059,0.0450755,-0.165769,0.0187026,0.00722736,-0.0394586,0.0
365886434,0.294172,-0.349029,-0.117634,0.018682,0.00721851,-0.0398534,0.0
365915241,0.786825,-0.088061,0.274823,0.0185529,0.00745725,-0.0401918,0.0
365948008,0.176247,0.147742,0.130781,0.0186971,0.00774743,-0.040511,0.0
365980015,0.333034,-0.20988,-0.194707,0.0187514,0.00796283,-0.0406349,0.0
366008847,0.509471,0.125573,0.0800213,0.0186509,0.00799403,-0.0409149,0.0
366041597,-0.176807,0.129555,0.0606323,0.019102,0.008034,-0.0413384,0.0
366073640,0.728081,0.0937634,0.0314889,0.0192528,0.0081028,-0.0415191,0.0
366106427,-0.702688,-0.0595315,-0.217856,0.0198027,0.00792284,-0.0417467,0.0
366138416,0.275174,0.158398,0.152197,0.0194566,0.00774677,-0.0423746,0.0
366167204,-0.383726,0.240969,0.202916,0.0196266,0.00785134,-0.0425849,0.0
366200033,0.449014,0.195127,0.230745,0.0196031,0.00796816,-0.042844,0.0
366231998,-0.0640218,0.113695,-0.0849469,0.0197286,0.00790052,-0.0431135,0.0
366261633,-0.243096,0.0729699,-0.0497279,0.0195981,0.00759491,-0.0434533,0.0
366293616,0.27307,-0.00723553,0.138643,0.0194169,0.00751685,-0.0437835,0.0
366326405,-0.0314599,-0.0375405,0.0108288,0.019585,0.0075911,-0.0441202,0.0
