timestamp,roll,pitch,yaw,thrust
362157609,0.0329911,-0.00215703,-0.000305475,0.437329
362190422,0.0383899,0.0154688,-0.000188649,0.461811
362219268,0.0527109,-0.00731155,0.00140885,0.482691
362251224,0.0284957,-0.0190408,-0.00167158,0.506481
362284013,0.0395343,-0.0224006,-0.000568109,0.531445
362316769,0.0771074,0.00120254,-0.00129825,0.558127
362345609,-0.00534425,0.0208575,-0.00135076,0.577134
362377605,0.056557,0.0303948,-0.00159249,0.601429
362410409,0.0642636,0.0429191,-0.000236579,0.628412
362442416,0.0323309,-0.0716369,0.000617739,0.651967
362471187,0.0699041,0.0350877,0.000633997,0.673338
362503969,0.0217261,0.0287577,0.000968259,0.700292
362535981,0.0308928,-0.00803044,0.000669575,0.724102
363961614,-0.524653,-0.463312,-0.134696,0.265677
363993610,-0.45806,0.292734,-0.134558,0.264172
364026420,0.437947,0.237927,-0.140306,0.261865
364058392,-0.0504575,-0.521797,-0.131603,0.262958
364091170,-0.334865,0.187345,-0.132925,0.264182
364119988,0.471849,0.054475,-0.134473,0.267715
364151990,0.0993942,0.0606493,-0.133332,0.267373
364184771,-0.119984,-0.195344,-0.132582,0.269851
364213622,-0.845609,0.0495087,-0.127975,0.272262
364245568,0.735474,0.479549,-0.150802,0.272728
364278396,0.0202664,-0.110945,-0.137429,0.276804
364311214,-0.0818831,0.23603,-0.137183,0.275603
364340015,0.390564,0.0481321,-0.137398,0.274198
364372023,-0.385213,0.055284,-0.1288,0.27582
364404812,-0.123209,0.248109,-0.131669,0.27327
364437580,0.409338,0.402883,-0.134225,0.272129
364465597,-0.260562,0.327765,-0.120975,0.27386
364498420,0.32538,0.0675961,-0.12084,0.275285
364531224,0.516315,-0.0798692,-0.11494,0.278982
364563233,0.0862671,-0.0244135,-0.121272,0.275724
364591992,0.152267,-0.56081,-0.110839,0.279205
364624813,-0.130755,0.093207,-0.118063,0.279595
364656814,1.33101,0.261067,-0.132279,0.280171
364689601,-0.679448,-0.560261,-0.121947,0.280338
364718413,0.114852,0.267909,-0.123188,0.278425
364750419,0.530771,0.305818,-0.124885,0.275377
364783212,-0.0299221,-0.281021,-0.104795,0.274372
364811975,0.306808,0.142557,-0.10967,0.274296
364843989,-0.158725,0.18887,-0.104545,0.276274
364876814,0.211949,0.232043,-0.110171,0.278406
364909604,0.152482,-0.0383771,-0.106035,0.288222
364938412,-0.337284,0.315133,-0.107154,0.288739
364970416,1.24401,0.281739,-0.116599,0.297011
365003196,-0.732628,-0.542067,-0.0979012,0.300956
365036020,0.124812,0.159855,-0.107038,0.303123
365064020,0.310362,-0.111034,-0.101247,0.306725
365096795,-0.413049,-0.0910573,-0.102916,0.309346
365129567,0.0720159,0.220758,-0.107454,0.309003
365161594,0.21644,-0.128021,-0.0988031,0.311369
365190369,-0.555589,0.049522,-0.0979653,0.315309
365223229,0.452021,0.429323,-0.113006,0.316789
365256009,-0.220573,-0.236541,-0.0940305,0.3198
365288016,0.25611,0.0335014,-0.0928775,0.320359
365316797,1.0805,0.541383,-0.11654,0.317959
365348813,-0.168401,-0.249998,-0.0852882,0.317483
365381608,0.340722,0.110188,-0.0822619,0.317074
365410401,0.1891,0.298318,-0.0842902,0.3143
365442396,-0.0703068,0.0612012,-0.0797549,0.317176
365475199,0.561641,-0.02578,-0.0760228,0.317215
365507985,-0.781085,-0.0553078,-0.0728775,0.32244
365536007,-0.769997,-0.221969,-0.0780625,0.3232
365568800,0.27444,-0.14347,-0.0758274,0.323691
365601615,-0.409558,0.0596634,-0.0757955,0.323948
365634428,-0.149293,0.12219,-0.076461,0.31925
365662420,0.127057,-0.247662,-0.0732337,0.322733
365695202,-0.21576,0.0593569,-0.0744582,0.326021
365727975,0.0706551,0.188621,-0.079628,0.32471
365760008,-0.00613056,0.394251,-0.0827204,0.327204
365788814,0.393963,0.0465432,-0.0741672,0.330514
365821578,-0.201959,-0.106613,-0.0747395,0.331809
365853621,0.642304,0.220688,-0.0889197,0.33114
365886413,-0.147804,0.0307877,-0.0847986,0.332481
365915216,-0.212702,-0.0306677,-0.0818715,0.338455
365947985,0.0846557,0.101104,-0.0832612,0.33718
365979994,-0.186558,0.187277,-0.0805705,0.340636
366012784,0.622388,0.222859,-0.0860417,0.344439
366041576,0.111694,-0.127956,-0.0797729,0.344773
366073618,-0.443609,0.283297,-0.0771536,0.346409
366106405,0.527445,0.0894147,-0.0806029,0.346143
366138394,0.129034,0.221153,-0.0890854,0.348804
366167182,0.378064,-0.0366349,-0.0797237,0.352235
366200011,-0.201948,-0.118118,-0.0782618,0.352709
366231976,0.14254,0.0684961,-0.0818469,0.351982
366261612,0.240515,-0.214401,-0.0802564,0.350633
366293594,-0.0911934,-0.0835125,-0.0833738,0.354669
366326384,0.0284,-0.249065,-0.0810991,0.356777
366358424,-0.590797,0.0648234,-0.0808244,0.35974
366387189,0.646654,0.156056,-0.08933,0.364225
366419999,-0.571734,-0.268066,-0.0887879,0.36558
366451982,0.269183,-0.207151,-0.0842941,0.367459
366484810,-0.265227,-0.0375707,-0.0871232,0.368395
366513573,0.244187,0.284599,-0.0938039,0.366286
366545615,-0.375291,0.144275,-0.0823865,0.365846
366578391,0.216892,0.140729,-0.0811434,0.364318
366611158,-0.0361718,0.249546,-0.0788356,0.360597
366639226,-0.0952984,0.0723379,-0.07414,0.356158
366672002,-0.207997,-0.169744,-0.0702517,0.351619
366704809,0.112555,0.0832665,-0.0686461,0.346629
366736812,-0.377671,0.118945,-0.0618861,0.342549
366765581,-0.652577,-0.0852561,-0.0672505,0.342986
366798415,-0.300333,-0.26862,-0.0684944,0.339288
366830381,-0.14055,0.0434437,-0.0665037,0.335881
366863165,-0.368595,-0.228114,-0.069175,0.3319
366892004,0.152118,0.227997,-0.0747936,0.330747
366924796,0.261691,0.0699702,-0.0705448,0.326611
366956822,-0.131246,-0.010848,-0.0679624,0.327955
366985617,0.222155,0.324327,-0.068455,0.322139
367018418,0.591492,-0.105061,-0.0628871,0.322492
367050420,-0.504735,-0.0677964,-0.059902,0.325199
367083185,0.0869652,-0.184238,-0.0611174,0.324079
367111994,-0.0512929,0.0963794,-0.0601512,0.319892
